Ay,Ax,B,ux_fea3d,uy_fea3d,phi_fea3d,t_fea3d,ux_fea2d,uy_fea2d,phi_fea2d,t_fea2d,ux_euler,uy_euler,phi_euler,t_euler,ux_guided,uy_guided,phi_guided,t_guided,ux_prb,uy_prb,phi_prb,t_prb,ux_prb_opt,uy_prb_opt,phi_prb_opt,t_prb_opt,ux_bcm,uy_bcm,phi_bcm,t_bcm,ux_linear,uy_linear,phi_linear,t_linear
0.5,-10.0,0.0,-0.001108244,0.039112,9.298745645762846e-05,40.23288369178772,-0.0010809359999999998,0.0385618,8.854666053213902e-05,0.7543668746948242,-0.0010640715465136674,0.04184495200064135,7.4044418538117785e-06,2.5201237999863224,-0.0010641995294905504,0.04183110860318918,0.0,0.003158799998345785,-0.00016841334495799114,0.01693655598835328,0.0,7.249999907799065e-05,-0.00022768764675332732,0.0202431697738159,0.0,7.850000110920519e-05,-0.001220734126984127,0.041666666666666664,9.119176219870663e-05,3.4999975468963385e-06,0.0,0.020833333333333332,0.0,4.00003045797348e-07
0.5,-10.0,1.0,-0.0011187,0.03934108,0.00029209795312303965,48.583258867263794,-0.001104736,0.03904168,0.00048792659541760846,1.561767578125,nan,nan,nan,15.004043299995828,-0.0010641995294905504,0.04183110860318918,0.0,0.0031490999972447753,-0.00016841334495799114,0.01693655598835328,0.0,7.410001126118004e-05,-0.00022768764675332732,0.0202431697738159,0.0,7.79999973019585e-05,-0.001220734126984127,0.041666666666666664,0.00029015560699588476,3.9000005926936865e-06,0.0,0.020833333333333332,0.0,4.999892553314567e-07
0.5,-10.0,2.0,-0.001132444,0.03963108,0.0004917052164461293,48.415258169174194,-0.00114202,0.03976884,0.0008901261348682102,0.7497565746307373,-0.0010766513860152038,0.04206914779727814,3.987623531382059e-05,2.768516100011766,-0.0010641995294905504,0.04183110860318918,0.0,0.003077099987422116,-0.00016841334495799114,0.01693655598835328,0.0,7.100000220816582e-05,-0.00022768764675332732,0.0202431697738159,0.0,7.779999577905983e-05,-0.001220734126984127,0.041666666666666664,0.0004891194517930629,3.3999967854470015e-06,0.0,0.020833333333333332,0.0,5.00003807246685e-07
0.5,-10.0,3.0,-0.001149668,0.03998432,0.0006920350496726771,40.81412601470947,-0.0011951639999999999,0.0407724,0.0012973584072153129,1.4825506210327148,-0.0010888192516694817,0.04228632858538706,5.823502162042205e-05,4.042251699996996,-0.0010641995294905504,0.04183110860318918,0.0,0.004290700002457015,-0.00016841334495799114,0.01693655598835328,0.0,6.86999992467463e-05,-0.00022768764675332732,0.0202431697738159,0.0,8.30000062705949e-05,-0.001220734126984127,0.041666666666666664,0.000688083296590241,3.100009053014219e-06,0.0,0.020833333333333332,0.0,3.00002284348011e-07
1.0,-10.0,-3.0,-0.0040224399999999995,0.07923000000000001,0.0009637014498015182,48.62475943565369,-0.0038238639999999997,0.07699399999999999,-0.0012513443450617944,0.6590845584869385,-0.004225739807261042,0.08323643947386591,-0.0001366225149652577,1.696509800007334,-0.004204968340795645,0.08307443973979682,0.0,0.003381599992280826,-0.0006727891652913042,0.03384636492884049,0.0,6.970000686123967e-05,-0.0009092565429494438,0.040445457468646334,0.0,8.090000483207405e-05,-0.0043829365079365076,0.08333333333333333,-0.0005006246325690771,3.2999960239976645e-06,0.0,0.041666666666666664,0.0,3.00002284348011e-07
1.0,-10.0,-2.0,-0.003960936,0.0786128,0.0007145708474074608,43.286526679992676,-0.003760932,0.07641440000000001,-0.0007565260179879392,0.6510045528411865,-0.004207231992180649,0.08308656751719715,-7.224504762889685e-05,1.5511808000010205,-0.004204968340795645,0.08307443973979682,0.0,0.0033645000075921416,-0.0006727891652913042,0.03384636492884049,0.0,6.989999383222312e-05,-0.0009092565429494438,0.040445457468646334,0.0,9.019998833537102e-05,-0.0043829365079365076,0.08333333333333333,-0.0002603248089359201,3.1999952625483274e-06,0.0,0.041666666666666664,0.0,4.00003045797348e-07
1.0,-10.0,-1.0,-0.003913116,0.0781212,0.0004683698229053826,42.95860815048218,-0.00374682,0.0763052,-0.00027034647984938416,0.6661596298217773,-0.004204371567219534,0.0830698203045166,-5.722590724443051e-06,1.5949097999982769,-0.004204968340795645,0.08307443973979682,0.0,0.00333360000513494,-0.0006727891652913042,0.03384636492884049,0.0,7.46000005165115e-05,-0.0009092565429494438,0.040445457468646334,0.0,9.120001050177962e-05,-0.0043829365079365076,0.08333333333333333,-2.002498530276309e-05,3.200009814463556e-06,0.0,0.041666666666666664,0.0,3.00002284348011e-07
1.0,-10.0,0.0,-0.0038781880000000003,0.07775119999999999,0.0002241881054807015,41.44559335708618,-0.003779372,0.07664839999999999,0.00021389333007143456,0.6799540519714355,-0.004215768668657027,0.0831837152245785,6.060906492172383e-05,1.6419138000055682,-0.004204968340795645,0.08307443973979682,0.0,0.004122700003790669,-0.0006727891652913042,0.03384636492884049,0.0,6.890000076964498e-05,-0.0009092565429494438,0.040445457468646334,0.0,7.340000593103468e-05,-0.0043829365079365076,0.08333333333333333,0.00022027483833039386,3.0999945010989904e-06,0.0,0.041666666666666664,0.0,3.00002284348011e-07
1.0,-10.0,1.0,-0.003913116,0.0781212,0.0004683698229053826,41.983299016952515,-0.003859904,0.07745239999999999,0.0007026332177048408,0.6435682773590088,-0.004242983410598367,0.08342522324622184,0.00012276457852981065,3.0442781999881845,-0.004204968340795645,0.08307443973979682,0.0,0.0037786000029882416,-0.0006727891652913042,0.03384636492884049,0.0,7.059999916236848e-05,-0.0009092565429494438,0.040445457468646334,0.0,7.010000990703702e-05,-0.0043829365079365076,0.08333333333333333,0.0004605746619635508,3.7999998312443495e-06,0.0,0.041666666666666664,0.0,5.00003807246685e-07
1.0,-10.0,2.0,-0.003960936,0.0786128,0.0007145708474074608,54.60780382156372,-0.003993388,0.07874840000000001,0.0012027919514415394,0.7296445369720459,-0.0042834980062287364,0.08381379425447791,0.00019694557155205462,1.6191268999973545,-0.004204968340795645,0.08307443973979682,0.0,0.00335879999329336,-0.0006727891652913042,0.03384636492884049,0.0,6.930000381544232e-05,-0.0009092565429494438,0.040445457468646334,0.0,6.979999307077378e-05,-0.0043829365079365076,0.08333333333333333,0.0007008744855967078,3.3999967854470015e-06,0.0,0.041666666666666664,0.0,4.00003045797348e-07
