fy,fx,m,x,y,phi,t
12,-5,3,-41.555,124.132,0.03217118132267526,43.64808130264282
14,-5,-3,-51.8754,136.807,0.04641229601827693,49.7425012588501
14,-5,-2,-49.7608,134.548,0.03861441989751869,49.30566120147705
14,-5,-1,-48.6238,133.305,0.033400220520887265,53.26168131828308
14,-5,0,-47.5892,132.143,0.028467919667927034,53.24922585487366
14,-5,1,-48.6238,133.305,0.033400220520887265,54.69878888130188
14,-5,2,-49.7608,134.548,0.03861441989751869,53.72795557975769
14,-5,3,-51.8754,136.807,0.04641229601827693,53.91952323913574
16,-5,-3,-61.8161,147.36,0.06212735487136242,54.30204749107361
16,-5,-2,-59.7388,145.454,0.05357069762743903,58.96747326850891
16,-5,-1,-57.9437,143.75,0.04592119963080553,54.837098121643066
16,-5,0,-56.4114,142.248,0.03906620551031589,54.57333970069885
16,-5,1,-57.9437,143.75,0.04592119963080553,53.61364960670471
16,-5,2,-59.7388,145.454,0.05357069762743903,53.953500747680664
16,-5,3,-61.8161,147.36,0.06212735487136242,51.34551548957825
18,-5,-3,-72.584,157.253,0.08319922867407731,52.4168119430542
18,-5,-2,-69.3705,154.686,0.07019578028810255,49.98846912384033
18,-5,-1,-67.0189,152.726,0.06016031903723881,88.29447054862976
18,-5,0,-64.9625,150.945,0.051086967844287824,47.387030363082886
18,-5,1,-67.0189,152.726,0.06016031903723881,89.8891167640686
18,-5,2,-69.3705,154.686,0.07019578028810255,50.464417457580566
18,-5,3,-72.584,157.253,0.08319922867407731,50.92685079574585
20,-5,-3,-82.6173,165.372,0.10449236624558572,85.02146458625793
20,-5,-2,-78.5813,162.536,0.08775851004168717,50.593231201171875
20,-5,-1,-75.8582,160.524,0.07600210741445325,50.80998611450195
20,-5,0,-73.0577,158.359,0.06369157522053136,50.76413083076477
20,-5,1,-75.8582,160.524,0.07600210741445325,62.416646242141724
20,-5,2,-78.5813,162.536,0.08775851004168717,66.08664178848267
20,-5,3,-82.6173,165.372,0.10449236624558572,110.13599061965942
0,-4,-3,-0.0171878,0.0804178,0.0005516071333971145,32.649967193603516
0,-4,-2,-0.0171796,0.0535877,0.0003677327658044418,33.356017112731934
0,-4,-1,-0.0171774,0.0267807,0.00018386581808067947,31.92635416984558
0,-4,0,-0.0171811,-1.58632e-05,1.935486767992842e-09,32.34759306907654
0,-4,1,-0.0171774,0.0267807,0.00018386581808067947,33.268696308135986
0,-4,2,-0.0171796,0.0535877,0.0003677327658044418,33.571796894073486
0,-4,3,-0.0171878,0.0804178,0.0005516071333971145,31.9505352973938
0.5,-4,-3,-0.114356,6.33378,0.0006277687125004632,35.29394602775574
0.5,-4,-2,-0.113096,6.2911,0.0004382058682966351,34.08837556838989
0.5,-4,-1,-0.112037,6.25391,0.0002487997670465845,35.56422710418701
0.5,-4,0,-0.111171,6.22211,5.949041462465458e-05,38.52769088745117
0.5,-4,1,-0.112037,6.25391,0.0002487997670465845,36.49101424217224
0.5,-4,2,-0.113096,6.2911,0.0004382058682966351,44.31553888320923
0.5,-4,3,-0.114356,6.33378,0.0006277687125004632,48.818238973617554
